address,area,rooms,criteria,price,Neighbourhood,longitude,latitude
"Warschauer Straße 65, Friedrichshain (Friedrichshain), Berlin",67.0,2.0,"['Balkon/Terrasse', 'Keller', '+1']",475000.0,Friedrichshain,13.4523,52.51085
"Ehrlichstraße 70, Karlshorst (Lichtenberg), Berlin",68.0,2.0,['Keller'],315100.0,Lichtenberg,13.5138,52.48341
"Bellevuestraße 1, Tiergarten (Tiergarten), Berlin",120.0,3.0,"['Einbauküche', 'Keller', '+2']",860000.0,Tiergarten,13.37456,52.51002
"Müggelheim (Köpenick), Berlin",66.0,2.0,['Einbauküche'],189000.0,Köpenick,13.5822,52.44254
"Ostpreußendamm 78, Lichterfelde (Steglitz), Berlin",77.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+5']",465000.0,Steglitz,13.30549,52.41868
"Ostpreußendamm 78, Lichterfelde (Steglitz), Berlin",64.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+5']",379000.0,Steglitz,13.30549,52.41868
"Hindenburgdamm 1, Lichterfelde (Steglitz), Berlin",84.0,3.0,"['Balkon/Terrasse', 'Keller', '+3']",545011.0,Steglitz,13.31035,52.43163
"Hindenburgdamm 1, Lichterfelde (Steglitz), Berlin",119.0,4.0,"['Balkon/Terrasse', 'Keller', '+3']",714300.0,Steglitz,13.31035,52.43163
"Mühlenstraße 20, Friedrichshain (Friedrichshain), Berlin",125.0,4.0,"['Balkon/Terrasse', 'Keller', '+1']",867000.0,Friedrichshain,13.44066,52.50503
"Dennewitzstraße 40, Tiergarten (Tiergarten), Berlin",84.0,3.0,"['Balkon/Terrasse', 'Keller', '+3']",648000.0,Tiergarten,13.37026,52.49922
"Dennewitzstraße 39, Tiergarten (Tiergarten), Berlin",133.0,4.0,"['Balkon/Terrasse', 'Garten', '+4']",930000.0,Tiergarten,13.37045,52.49914
"Heubnerweg 9a, Charlottenburg (Charlottenburg), Berlin",112.0,4.0,"['Balkon/Terrasse', 'Keller', '+2']",856673.0,Charlottenburg,13.2875,52.52375
"Heubnerweg 9, Charlottenburg (Charlottenburg), Berlin",95.0,3.0,"['Balkon/Terrasse', 'Garten', '+3']",658039.0,Charlottenburg,13.28817,52.52381
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",68.0,2.0,['Keller'],341500.0,Friedrichshain,13.45141,52.5266
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",75.0,2.0,['Balkon/Terrasse'],375900.0,Friedrichshain,13.45141,52.5266
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",105.0,3.0,"['Balkon/Terrasse', 'Keller']",509300.0,Friedrichshain,13.45141,52.5266
"Marathonallee 11, Charlottenburg (Charlottenburg), Berlin",127.0,4.0,"['Balkon/Terrasse', 'Einbauküche', '+2']",699500.0,Charlottenburg,13.29005,52.533
"Marathonallee 11, Charlottenburg (Charlottenburg), Berlin",90.0,2.0,"['Balkon/Terrasse', 'Einbauküche', '+1']",499500.0,Charlottenburg,13.29005,52.533
"Grunewald (Wilmersdorf), Berlin",110.0,2.0,"['Balkon/Terrasse', 'Garten', '+1']",698000.0,Wilmersdorf,13.3152,52.48977
"Kreuzberg (Kreuzberg), Berlin",83.0,2.0,"['Balkon/Terrasse', 'Einbauküche', '+3']",689000.0,Kreuzberg,13.38085,52.48974
"Prenzlauer Berg (Prenzlauer Berg), Berlin",45.0,2.0,"['Balkon/Terrasse', 'Einbauküche', '+2']",298000.0,Prenzlauer Berg,13.41931,52.52857
"Bouchéstraße 24, Treptow (Treptow), Berlin",43.0,2.0,,142065.0,Treptow,13.44798,52.49006
"Pankow (Pankow), Berlin",131.0,3.0,"['Balkon/Terrasse', 'Keller', '+1']",750000.0,Pankow,13.40248,52.56926
"Schöneberg (Schöneberg), Berlin",66.0,3.0,"['Einbauküche', 'Keller']",269000.0,Schöneberg,13.35117,52.4727
"Steglitz (Steglitz), Berlin",76.0,2.0,"['Balkon/Terrasse', 'Einbauküche', '+2']",398000.0,Steglitz,13.36061,52.44677
"Johanniterstraße 3, Kreuzberg (Kreuzberg), Berlin",61.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",257000.0,Kreuzberg,13.39864,52.49583
"Emser Straße 32, Wilmersdorf (Wilmersdorf), Berlin",115.0,3.0,"['Balkon/Terrasse', 'Einbauküche', '+5']",995000.0,Wilmersdorf,13.32079,52.49914
"Düsseldorfer Str. 68a, Wilmersdorf (Wilmersdorf), Berlin",59.0,2.0,['Provisionsfrei*'],200900.0,Wilmersdorf,13.32138,52.49564
"Bachstrasse 6, Tiergarten (Tiergarten), Berlin",78.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",433800.0,Tiergarten,13.3668,52.50982
"Kreutzigerstrasse 17, Friedrichshain (Friedrichshain), Berlin",87.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",423400.0,Friedrichshain,13.45997,52.51285
"Schönwalder Straße 61, Spandau (Spandau), Berlin",76.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+3']",369500.0,Spandau,13.19937,52.55235
"Schönwalder Straße 61, Spandau (Spandau), Berlin",82.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+3']",449000.0,Spandau,13.19937,52.55235
"Hönower Straße 4-7, Karlshorst (Lichtenberg), Berlin",72.0,2.0,"['Provisionsfrei*', 'Gäste-WC', '+1']",350000.0,Lichtenberg,13.52681,52.48941
"Hönower Straße 4-7, Karlshorst (Lichtenberg), Berlin",111.0,4.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",516000.0,Lichtenberg,13.52681,52.48941
"Rosenthaler Weg 50,54, Französisch Buchholz (Pankow), Berlin",127.0,4.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+4']",590000.0,Pankow,13.42411,52.60704
"Rosenthaler Weg 50,54, Französisch Buchholz (Pankow), Berlin",101.0,3.0,"['Provisionsfrei*', 'Keller', '+2']",625000.0,Pankow,13.42411,52.60704
"Tegeler Straße 8, 9, Wedding (Wedding), Berlin",86.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+3']",480000.0,Wedding,13.35949,52.53967
"Tegeler Straße 8, 9, Wedding (Wedding), Berlin",82.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+3']",520000.0,Wedding,13.35949,52.53967
"Oberschöneweide (Köpenick), Berlin",36.0,1.0,"['Balkon/Terrasse', 'Garten', '+1']",125000.0,Köpenick,13.49726,52.46535
"Tegeler Straße 8, 9, Wedding (Wedding), Berlin",47.0,1.5,"['Provisionsfrei*', 'Einbauküche', '+1']",345000.0,Wedding,13.35949,52.53967
"Tegeler Straße 8, 9, Wedding (Wedding), Berlin",65.0,2.0,"['Provisionsfrei*', 'Einbauküche', '+1']",410000.0,Wedding,13.35949,52.53967
"Bossestraße 7, Friedrichshain (Friedrichshain), Berlin",30.0,1.0,"['Provisionsfrei*', 'Aufzug']",216000.0,Friedrichshain,13.46066,52.50076
"Bossestraße 7, Friedrichshain (Friedrichshain), Berlin",30.0,1.0,"['Provisionsfrei*', 'Aufzug']",216000.0,Friedrichshain,13.46066,52.50076
"Wilmersdorf (Wilmersdorf), Berlin",79.0,3.0,"['Balkon/Terrasse', 'Einbauküche', '+2']",429000.0,Wilmersdorf,13.3311,52.48665
"Oraniendamm 1-3, Wittenau (Reinickendorf), Berlin",83.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",418000.0,Reinickendorf,13.32636,52.60584
"Oraniendamm 1-3, Wittenau (Reinickendorf), Berlin",82.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",423000.0,Reinickendorf,13.32636,52.60584
"Albrechtstraße 87, Steglitz (Steglitz), Berlin",86.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",559300.0,Steglitz,13.33516,52.45174
"Albrechtstraße 87, Steglitz (Steglitz), Berlin",105.0,4.0,"['Provisionsfrei*', 'Gäste-WC', '+1']",699300.0,Steglitz,13.33516,52.45174
"May-Ayim-Ufer 6, Kreuzberg (Kreuzberg), Berlin",48.0,2.0,,317526.0,Kreuzberg,13.44235,52.50215
"Schützenstr. 16, Steglitz (Steglitz), Berlin",57.0,2.0,,174613.0,Steglitz,13.32244,52.4533
"Schützenstr. 16, Steglitz (Steglitz), Berlin",65.0,2.0,"['Balkon/Terrasse', 'Aufzug']",210736.0,Steglitz,13.32244,52.4533
"Ahornallee 21, Charlottenburg (Charlottenburg), Berlin",95.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",785000.0,Charlottenburg,13.29005,52.533
"Waidmannsluster Damm 161-163, Waidmannslust (Reinickendorf), Berlin",124.0,4.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",713000.0,Reinickendorf,13.31686,52.60624
"Waidmannsluster Damm 161-163, Waidmannslust (Reinickendorf), Berlin",122.0,3.0,"['Provisionsfrei*', 'Gäste-WC', '+1']",793000.0,Reinickendorf,13.31686,52.60624
"Rudower Chaussee 34, Adlershof (Treptow), Berlin",59.0,2.0,"['Provisionsfrei*', 'Aufzug']",274000.0,Treptow,13.5257305,52.4288652
"Rudower Chaussee 34, Adlershof (Treptow), Berlin",60.0,3.0,"['Provisionsfrei*', 'Aufzug']",259000.0,Treptow,13.5257305,52.4288652
"Charlottenburg (Charlottenburg), Berlin",51.0,1.0,['Einbauküche'],239000.0,Charlottenburg,13.29005,52.533
"Billy-Wilder-Promenade 20, Lichterfelde (Steglitz), Berlin",90.0,3.0,"['Provisionsfrei*', 'Gäste-WC', '+1']",749000.0,Steglitz,13.28553,52.41964
"Mitte (Mitte), Berlin",77.0,2.0,"['Einbauküche', 'Keller']",499900.0,Mitte,13.38717,52.51796
"Mahlsdorfer Strasse 7, Köpenick (Köpenick), Berlin",100.0,3.0,"['Provisionsfrei*', 'Gäste-WC']",548000.0,Köpenick,13.58177,52.46048
"Walter-Linse-Str. 13a, Lichterfelde (Steglitz), Berlin",123.0,5.0,"['Balkon/Terrasse', 'Einbauküche', '+1']",549500.0,Steglitz,13.30672,52.43583
"May-Ayim-Ufer 6, Kreuzberg (Kreuzberg), Berlin",46.0,2.0,,314498.0,Kreuzberg,13.44235,52.50215
"Mahlsdorfer Strasse 7, Köpenick (Köpenick), Berlin",131.0,4.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",681000.0,Köpenick,13.58177,52.46048
"Schlüterstr. 77, Charlottenburg (Charlottenburg), Berlin",123.0,3.0,"['Balkon/Terrasse', 'Gäste-WC', '+1']",875000.0,Charlottenburg,13.31838,52.50949
"Spandau (Spandau), Berlin",65.0,2.0,"['Balkon/Terrasse', 'Einbauküche', 'Aufzug']",139000.0,Spandau,13.20217,52.53487
"Buckow (Neukölln), Berlin",73.0,2.0,"['Balkon/Terrasse', 'Einbauküche', 'Garten', '+2']",268000.0,Neukölln,13.43541,52.48078
"Mitte (Mitte), Berlin",25.0,1.0,"['Balkon/Terrasse', 'Keller', 'Aufzug', '+1']",175000.0,Mitte,13.38717,52.51796
"Tiergarten (Tiergarten), Berlin",120.0,3.0,"['Einbauküche', 'Keller', 'Aufzug']",950000.0,Tiergarten,13.37171,52.5196
"Seelingstraße xxx, Charlottenburg (Charlottenburg), Berlin",41.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse']",151000.0,Charlottenburg,13.29233,52.51558
"Beusselstraße xxx, Tiergarten (Tiergarten), Berlin",36.0,1.0,"['Provisionsfrei*', 'Balkon/Terrasse']",74000.0,Tiergarten,13.35476,52.50933
"Hellersdorf (Hellersdorf), Berlin",54.0,2.0,"['Balkon/Terrasse', 'Keller', 'Aufzug']",150000.0,Hellersdorf,13.59534,52.53932
"Mitte (Mitte), Berlin",77.0,3.0,"['Balkon/Terrasse', 'Keller', 'Aufzug']",525000.0,Mitte,13.38717,52.51796
"Binzstr. 53, 53 A, Pankow (Pankow), Berlin",74.0,2.0,,281200.0,Pankow,13.41894,52.56375
"Schützenstr. 16, Steglitz (Steglitz), Berlin",115.0,4.0,"['Balkon/Terrasse', 'Aufzug']",419800.0,Steglitz,13.32244,52.4533
