address,size,rooms,criteria,price,longitude,latitude,distance,district,neighborhood,id,host_identity_verified,instant_bookable,bed_type,private,luggage_dropoff,stairless,balcony,elevator,moderate,strict,loc,Restaurant,Bar,Café,Coffee Shop,Bakery,Hotel,Ice Cream Shop,Supermarket,Pizza Place,Pub,yearly_incomes_predicted
"Streustraße 55, Weißensee (Weißensee), Berlin",37.0,1.0,"['Provisionsfrei*', 'Balkon/Terrasse']",259000.0,13.436179999999998,52.552119999999995,5.898250121025972,Pankow,Weißensee,59,1,1,1,1,1,0,1,0,0,1,other,3,0,0,0,2,0,0,4,0,0,25101.73
"Kreuzstraße 11, Pankow (Pankow), Berlin",68.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",389000.0,13.39746,52.567840000000004,7.248573988066701,Pankow,Pankow,60,1,1,1,1,1,0,1,0,0,1,other,6,0,4,1,1,0,0,1,0,1,33217.572
"Wilmersdorf (Wilmersdorf), Berlin",78.0,2.0,"['Balkon/Terrasse', 'Einbauküche', '+4']",699000.0,13.3311,52.48665,5.261911009021363,Charlottenburg-Wilm.,Wilmersdorf,61,1,1,1,1,1,0,1,0,0,1,Wilmersdorf (nh),10,0,0,1,4,3,0,3,0,0,34726.261
"May-Ayim-Ufer 6, Kreuzberg (Kreuzberg), Berlin",99.0,3.5,empty,845495.0,13.44235,52.50215,2.585257347860281,Friedrichshain-Kreuzberg,Kreuzberg,62,1,1,1,1,1,0,0,0,0,1,Kreuzberg (nh),28,10,3,5,2,5,4,1,1,2,34060.572
"May-Ayim-Ufer 6, Kreuzberg (Kreuzberg), Berlin",46.0,2.0,empty,302575.0,13.44235,52.50215,2.585257347860281,Friedrichshain-Kreuzberg,Kreuzberg,63,1,1,1,1,1,0,0,0,0,1,Kreuzberg (nh),28,10,3,5,2,5,4,1,1,2,29258.282
"Hochmeisterplatz 1, Wilmersdorf (Wilmersdorf), Berlin",123.0,3.0,"['Balkon/Terrasse', 'Keller', '+2']",998000.0,13.30137,52.49561,7.004312834463113,Charlottenburg-Wilm.,Wilmersdorf,64,1,1,1,1,1,0,1,0,0,1,Wilmersdorf (nh),18,3,2,0,1,5,1,4,0,0,49726.884
"Mitte (Mitte), Berlin",89.0,3.0,empty,670000.0,13.387170000000001,52.517959999999995,2.0427312329096674,Mitte,Mitte,65,1,1,1,1,1,0,0,0,0,1,Mitte (nh),13,8,3,5,0,6,0,0,0,1,39624.653
"Steglitz (Steglitz), Berlin",101.0,4.0,"['Balkon/Terrasse', 'Einbauküche']",508000.0,13.360610000000001,52.446769999999994,6.891505289666778,Steglitz - Zehlendorf,Steglitz,66,1,1,1,1,1,0,1,0,0,1,other,0,0,0,0,1,0,0,1,0,0,33302.715
"Pankow (Pankow), Berlin",75.0,2.0,['Aufzug'],375000.0,13.402479999999999,52.56926,7.393132843683435,Pankow,Pankow,67,1,1,1,1,1,0,0,1,0,1,other,7,0,6,0,2,0,1,0,0,1,29832.084
"Talstr. 4, Pankow (Pankow), Berlin",63.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",339500.0,13.427175,52.5544559,5.953114025121457,Pankow,Pankow,68,1,1,1,1,1,0,1,0,0,1,other,3,0,0,0,2,0,0,3,0,0,23467.715
