id,categories
30295,Jewelry Store
30295,Ramen Restaurant
30295,Falafel Restaurant
30295,Hostel
30295,Ice Cream Shop
30295,Café
30295,Middle Eastern Restaurant
30295,Food & Drink Shop
30295,Cocktail Bar
30295,Vietnamese Restaurant
30295,German Restaurant
33043,Seafood Restaurant
33043,Hotel
33043,Italian Restaurant
33043,Park
33043,Waterfront
33043,Park
33043,Asian Restaurant
33043,Italian Restaurant
33043,Beach
33043,German Restaurant
33043,Park
33043,Trail
33043,Pier
35152,Yoga Studio
35152,Ice Cream Shop
35152,Cycle Studio
35152,Pastry Shop
35152,Beer Bar
35152,Event Space
35152,Coffee Shop
35152,Vegetarian / Vegan Restaurant
35152,Noodle House
35152,Pastry Shop
35152,Café
35152,Café
35152,Food & Drink Shop
35152,Deli / Bodega
35152,Vegetarian / Vegan Restaurant
35152,Burger Joint
35152,Café
35152,Modern European Restaurant
35152,Restaurant
35152,Organic Grocery
35152,Cocktail Bar
35152,Restaurant
35152,Italian Restaurant
35152,Gourmet Shop
35152,Supermarket
35152,Seafood Restaurant
35152,Park
35152,Café
35152,Bookstore
35152,Indie Movie Theater
35152,Restaurant
35152,Italian Restaurant
35152,Bike Shop
35152,Cocktail Bar
35152,Smoke Shop
35152,Wine Bar
35152,Vietnamese Restaurant
35152,Coffee Shop
35152,Nightclub
35152,Plaza
35152,Sports Bar
35152,Playground
35152,Historic Site
35152,Farmers Market
35152,French Restaurant
35152,Church
35152,Café
35152,Playground
35152,History Museum
35152,Boutique
35152,Bar
35152,Flea Market
35152,Miscellaneous Shop
35152,South American Restaurant
35152,Coffee Shop
35152,Art Gallery
35152,Plaza
35152,Tram Station
35152,Israeli Restaurant
35152,Pizza Place
35152,Bar
35152,Gym / Fitness Center
35152,Hobby Shop
35152,Video Store
35152,Swiss Restaurant
35152,Electronics Store
35152,Bar
35152,Trail
35152,Office
35152,Café
35152,Gift Shop
35152,Italian Restaurant
35152,Bar
35152,Italian Restaurant
35152,Outdoor Sculpture
35152,Chocolate Shop
35152,Coffee Shop
35152,Doner Restaurant
35152,Hotel
35152,Bar
35152,Tram Station
35152,Hotel
35152,Recording Studio
37836,Breakfast Spot
37836,Deli / Bodega
37836,Beer Bar
37836,Tea Room
37836,Sandwich Place
37836,Ice Cream Shop
37836,Café
37836,Bookstore
37836,Bar
37836,Café
37836,Bar
37836,German Restaurant
37836,Wine Shop
37836,Bakery
37836,Ice Cream Shop
37836,Indie Theater
37836,Café
37836,Coffee Shop
37836,Grocery Store
37836,Gourmet Shop
37836,Italian Restaurant
37836,Vietnamese Restaurant
37836,Vietnamese Restaurant
37836,Falafel Restaurant
37836,Burger Joint
37836,Tapas Restaurant
37836,Falafel Restaurant
37836,Coffee Shop
37836,Bike Shop
37836,Vietnamese Restaurant
37836,Bakery
37836,Bar
37836,Museum
37836,Indian Restaurant
37836,Ice Cream Shop
37836,Mexican Restaurant
37836,Pizza Place
37836,Indian Restaurant
37836,Music Venue
37836,Bakery
37836,Portuguese Restaurant
37836,Plaza
37836,Middle Eastern Restaurant
37836,Pub
37836,Shoe Store
37836,Hostel
37836,Rock Club
37836,Park
37836,Farm
37836,Café
37836,Cocktail Bar
37836,Vietnamese Restaurant
37836,Pub
37836,Café
37836,Scenic Lookout
37836,Bar
37836,Thrift / Vintage Store
37836,Austrian Restaurant
37836,Beer Garden
37836,Art Gallery
37836,Coffee Shop
37836,Shoe Store
37836,Ice Cream Shop
37836,Coffee Shop
37836,Nightclub
37836,Nightclub
37836,Caucasian Restaurant
37836,Italian Restaurant
37836,Dim Sum Restaurant
37836,Gay Bar
37836,Café
37836,Soup Place
37836,Korean Restaurant
37836,Falafel Restaurant
37836,Middle Eastern Restaurant
37836,Brazilian Restaurant
37836,Clothing Store
37836,Coffee Shop
37836,Bar
37836,Pub
37836,Dessert Shop
37836,Vegetarian / Vegan Restaurant
37836,Asian Restaurant
37836,Bar
37836,Argentinian Restaurant
37836,Rock Club
37836,Bookstore
37836,Vegetarian / Vegan Restaurant
37836,Hostel
37836,Hotel
37836,Bar
37836,Lake
37836,Playground
41217,Wine Bar
41217,American Restaurant
41217,Record Shop
41217,Bar
41217,Indie Theater
41217,German Restaurant
41217,Bar
41217,Vietnamese Restaurant
41217,Hotel
41217,Vegetarian / Vegan Restaurant
41217,Hostel
41217,Gym / Fitness Center
41217,Vegetarian / Vegan Restaurant
41217,Furniture / Home Store
41217,Street Food Gathering
41217,Wine Shop
41217,Korean Restaurant
41217,Farmers Market
41217,Bike Rental / Bike Share
41217,Vegetarian / Vegan Restaurant
41217,Music Venue
41217,Plaza
41217,Sushi Restaurant
41217,Italian Restaurant
41217,Middle Eastern Restaurant
41217,Seafood Restaurant
41217,Café
41217,Pizza Place
41217,Multiplex
41217,Israeli Restaurant
41217,Bistro
41217,Vegetarian / Vegan Restaurant
41217,Deli / Bodega
41217,Doner Restaurant
41217,Cosmetics Shop
41217,Optical Shop
41217,Korean Restaurant
41217,Japanese Restaurant
41217,Beer Bar
41217,Breakfast Spot
41217,History Museum
41217,Café
41217,Doner Restaurant
41217,Vietnamese Restaurant
41217,Market
41217,Beer Bar
41217,Vegetarian / Vegan Restaurant
41217,Beer Garden
41217,German Restaurant
41217,Health & Beauty Service
41217,Bar
41217,Middle Eastern Restaurant
41217,Café
41217,Park
41217,Rock Club
41217,Cocktail Bar
41217,Coffee Shop
41217,Currywurst Joint
41217,Pool Hall
41217,Breakfast Spot
41217,Historic Site
41217,Pizza Place
41217,Trattoria/Osteria
41217,Cocktail Bar
41217,Falafel Restaurant
41217,Playground
41217,Burger Joint
41217,Ice Cream Shop
41217,Russian Restaurant
41217,Burger Joint
41217,Fondue Restaurant
41217,Breakfast Spot
41217,German Restaurant
41217,Convenience Store
41217,Pastry Shop
41217,Indie Theater
41217,French Restaurant
41217,Pub
41217,Event Space
41217,Ice Cream Shop
41217,Chinese Restaurant
41217,Vietnamese Restaurant
41217,Breakfast Spot
41217,Ice Cream Shop
41217,Falafel Restaurant
41217,French Restaurant
41217,Sushi Restaurant
41217,Café
41217,Bagel Shop
41217,Indian Restaurant
41217,Bistro
41217,Thai Restaurant
41217,Organic Grocery
41217,Plaza
41217,Caucasian Restaurant
41217,Food & Drink Shop
41217,Bar
42742,Deli / Bodega
42742,Breakfast Spot
42742,Sandwich Place
42742,Bar
42742,Indie Theater
42742,Café
42742,Café
42742,Tea Room
42742,Bakery
42742,Café
42742,Wine Shop
42742,Beer Bar
42742,Hostel
42742,Farm
42742,Grocery Store
42742,Vietnamese Restaurant
42742,Italian Restaurant
