address,area,rooms,criteria,price
"Regattastraße 11, Grünau (Köpenick), Berlin","58,00 - 145,00 m²",Auf Anfrage,,335.000 - 899.000 €
"Mainauer Str. 7, Friedenau (Schöneberg), Berlin",235 m²,6 Zi.6,"['Balkon/Terrasse', 'Einbauküche', '+1']",1.298.000 €
"Streustraße 55, Weißensee (Weißensee), Berlin","37,00 - 61,00 m²",2020,,239.000 - 329.000 €
"Weißensee (Weißensee), Berlin",128 m²,5 Zi.5,"['Balkon/Terrasse', 'Keller', '+2']",589.000 €
"DGZ-Ring 1-2, Weißensee (Weißensee), Berlin","90,22 m²",4 Zi.4,"['Balkon/Terrasse', 'Keller', '+2']",419.000 €
"Rosenthaler Weg 50,54, Französisch Buchholz (Pankow), Berlin","47,00 - 128,00 m²",4. Quartal 2021,,239.000 - 754.000 €
"Dorotheenstrasse 83, Mitte (Mitte), Berlin","230,5 m²",5 Zi.5,"['Balkon/Terrasse', 'Einbauküche', '+3']",2.189.750 €
"Suarezstraße 56, Charlottenburg (Charlottenburg), Berlin","47,00 - 178,00 m²",2. Quartal 2021 im Neubau,,244.000 - 1.998.000 €
"Baseler Straße 125, 127, Lichterfelde (Steglitz), Berlin","89,00 - 159,00 m²",2021,,570.000 - 1.140.000 €
"Mahlsdorfer Strasse 7, Köpenick (Köpenick), Berlin","37,00 - 131,00 m²",2021,,195.500 - 681.000 €
"Am Hamburger Bahnhof 2, Mitte (Mitte), Berlin","56,00 - 240,00 m²",3.Q 2021,,399.000 - 2.649.000 €
"Waidmannsluster Damm 161-163, Waidmannslust (Reinickendorf), Berlin","66,00 - 140,00 m²",März 2021,,375.000 - 986.000 €
"Billy-Wilder-Promenade 20, Lichterfelde (Steglitz), Berlin","42,00 - 117,00 m²",Mai 2022,,283.000 - 1.016.000 €
"Teutonenstraße 7, Altglienicke (Treptow), Berlin","56,00 - 122,00 m²",auf Anfrage,,227.000 - 598.000 €
"Tegeler Straße 8, 9, Wedding (Wedding), Berlin","24,00 - 67,00 m²",August 2021,,180.000 - 415.000 €
"Tegeler Straße 8, 9, Wedding (Wedding), Berlin","82,00 - 99,00 m²",Sommer 2021,,480.000 - 575.000 €
"Mollstraße 3A, Mitte (Mitte), Berlin","113,66 m²",5 Zi.5,"['Provisionsfrei*', 'Keller', '+1']",599.500 €
"Prenzlauer Berg (Prenzlauer Berg), Berlin","228,5 m²",5 Zi.5,['Balkon/Terrasse'],2.500.000 €
"Flotowstrasse 1, Tiergarten (Tiergarten), Berlin","83,07 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",479.400 €
"Erasmusstraße 2, Tiergarten (Tiergarten), Berlin","51,14 m²",2 Zi.2,"['Provisionsfrei*', 'Keller']",191.800 €
"Lückstraße 23b, Lichtenberg (Lichtenberg), Berlin","84,53 m²",3 Zi.3,"['Provisionsfrei*', 'Keller']",321.900 €
"Zachertstraße 8, Friedrichsfelde (Lichtenberg), Berlin","75,61 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",279.500 €
"Zachertstraße 8, Friedrichsfelde (Lichtenberg), Berlin","61,86 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",289.000 €
"Weserstraße 30, Friedrichshain (Friedrichshain), Berlin","69,17 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",415.300 €
"Weserstraße 30, Friedrichshain (Friedrichshain), Berlin","111,54 m²",4 Zi.4,"['Provisionsfrei*', 'Keller']",389.800 €
"Boxhagener Strasse 102, Friedrichshain (Friedrichshain), Berlin","68,2 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",313.600 €
"Torstraße 227, Mitte (Mitte), Berlin","43,22 m²",1 Zi.1,"['Provisionsfrei*', 'Keller', '+1']",419.000 €
"Torstraße 225A, Mitte (Mitte), Berlin","61,8 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",567.000 €
"Osloer Str. 110, Wedding (Wedding), Berlin","67,52 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",355.300 €
"Wintersteinstraße 7, Charlottenburg (Charlottenburg), Berlin","69,53 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",268.700 €
"Wintersteinstraße 9, Charlottenburg (Charlottenburg), Berlin","113,32 m²",4 Zi.4,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",412.500 €
"Düsseldorfer Str. 68a, Wilmersdorf (Wilmersdorf), Berlin","63,77 m²",3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse']",275.000 €
"Binzstraße 20, Pankow (Pankow), Berlin","66,58 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",376.600 €
"Simon-Bolivar-Straße 48, Alt-Hohenschönhausen (Hohenschönhausen), Berlin","57,00 - 121,00 m²",Sommer 2021,,307.500 - 622.500 €
"Gubener Straße 37, Friedrichshain (Friedrichshain), Berlin","60,42 m²",2 Zi.2,['Keller'],365.400 €
"Albrechtstraße 87, Steglitz (Steglitz), Berlin","33,00 - 112,00 m²",2. Quartal 2021,,213.800 - 745.300 €
"Wilmersdorf (Wilmersdorf), Berlin",194 m²,4 Zi.4,"['Einbauküche', 'Keller', '+1']",1.500.000 €
"Streustraße 55, Weißensee (Weißensee), Berlin","60,7 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse']",319.000 €
"Streustraße 55, Weißensee (Weißensee), Berlin","37,1 m²",1 Zi.1,"['Provisionsfrei*', 'Balkon/Terrasse']",259.000 €
"Friedrichshain (Friedrichshain), Berlin","50,00 - 72,00 m²",sofort / nach Vereinbarung,,280.000 - 420.000 €
"Goethestraße 61, Charlottenburg (Charlottenburg), Berlin","204,52 m²",4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', '+3']",1.690.000 €
"Rungestraße 21c, Mitte (Mitte), Berlin","126,73 m²",4 Zi.4,"['Provisionsfrei*', 'Keller', '+2']",1.205.000 €
"Kreuzstraße 11, Pankow (Pankow), Berlin","68,6 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",389.000 €
"Charlottenburg (Charlottenburg), Berlin",118 m²,3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', '+2']",1.100.000 €
"Wilmersdorf (Wilmersdorf), Berlin",78 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', '+4']",699.000 €
"Schöneberg (Schöneberg), Berlin","297,16 m²",7 Zi.7,"['Balkon/Terrasse', 'Einbauküche', '+2']",2.375.000 €
"May-Ayim-Ufer 6, Kreuzberg (Kreuzberg), Berlin","99,47 m²","3,5 Zi.3,5",,845.495 €
"May-Ayim-Ufer 6, Kreuzberg (Kreuzberg), Berlin","46,55 m²",2 Zi.2,,302.575 €
"Baruther Straße 5, Kreuzberg (Kreuzberg), Berlin","41,00 - 89,00 m²",2021,,322.000 - 848.000 €
"Hochmeisterplatz 1, Wilmersdorf (Wilmersdorf), Berlin","123,9 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller', '+2']",998.000 €
"Talstr. 4, Pankow (Pankow), Berlin","43,50 - 147,40 m²",2021,,269.500 - 969.000 €
"Avenue Charles de Gaulle 10, Wittenau (Reinickendorf), Berlin","48,00 - 140,00 m²",September 2021,,180.000 - 730.000 €
"Mitte (Mitte), Berlin","89,03 m²",3 Zi.3,,670.000 €
"Steglitz (Steglitz), Berlin",101 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche']",508.000 €
"Wedding (Wedding), Berlin","59,00 - 104,00 m²",Q2 2020,,325.000 - 786.000 €
"Rudower Chaussee 34, Adlershof (Treptow), Berlin","24,00 - 78,00 m²",2022,,139.900 - 325.000 €
"Spreestraße 6, Köpenick (Köpenick), Berlin","45,00 - 138,00 m²",2022,,209.000 - 799.000 €
"Pufendorfstraße 4, Friedrichshain (Friedrichshain), Berlin","35,00 - 122,00 m²",2022,,271.900 - 989.900 €
"Nürnberger Straße 68, Charlottenburg (Charlottenburg), Berlin","29,00 - 148,00 m²",Dez. 2020,,368.900 - 2.091.900 €
"Mitte (Mitte), Berlin","98,13 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+4']",1.620.000 €
"Mitte (Mitte), Berlin","65,94 m²",2 Zi.2,"['Provisionsfrei*', 'Einbauküche', '+2']",1.120.000 €
"Pankow (Pankow), Berlin","75,4 m²",2 Zi.2,['Aufzug'],375.000 €
"Talstr. 4, Pankow (Pankow), Berlin","63,5 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",339.500 €
"Tiergarten (Tiergarten), Berlin","75,6 m²",3 Zi.3,['Aufzug'],489.000 €
"Schönhauser Str. 18a__, Steglitz (Steglitz), Berlin","75,34 m²",3 Zi.3,"['Provisionsfrei*', 'Einbauküche', '+1']",392.530 €
"Wrangelstr. 10_f, Steglitz (Steglitz), Berlin","136,28 m²",3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",651.455 €
"Habsburger Str. 8*, Schöneberg (Schöneberg), Berlin","170,45 m²",5 Zi.5,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",703.240 €
"Bossestraße 7, Friedrichshain (Friedrichshain), Berlin","30,00 - 56,00 m²",1.Quartal 2021,,187.000 - 384.000 €
"Charlottenburg (Charlottenburg), Berlin","30,00 - 147,00 m²",nach Vereinbarung,,276.822 - 2.029.160 €
"Schönwalder Straße 61, Spandau (Spandau), Berlin","54,00 - 82,00 m²",1. Quartal 2020,,249.000 - 449.000 €
"Wilhelmsaue 32, Wilmersdorf (Wilmersdorf), Berlin","30,00 - 150,00 m²",Sommer 2020,,265.000 - 1.240.000 €
"Friedenau (Schöneberg), Berlin",140 m²,4 Zi.4,['Aufzug'],389.000 €
"Friedrichshain (Friedrichshain), Berlin",55 m²,2 Zi.2,"['Balkon/Terrasse', 'Einbauküche', '+3']",299.000 €
"Binzstr. 53, 53 A, Pankow (Pankow), Berlin","59,18 m²",3 Zi.3,['Balkon/Terrasse'],221.925 €
"Grunewald (Wilmersdorf), Berlin","249,5 m²",5 Zi.5,"['Balkon/Terrasse', 'Einbauküche', '+3']",1.850.000 €
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",32 m²,2 Zi.2,,185.600 €
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",34 m²,2 Zi.2,,197.200 €
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",48 m²,2 Zi.2,,192.000 €
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",48 m²,2 Zi.2,,225.600 €
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",52 m²,2 Zi.2,,189.000 €
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",60 m²,2 Zi.2,"['Balkon/Terrasse', 'Aufzug']",438.000 €
"Reichenhaller Straße 53, Schmargendorf (Wilmersdorf), Berlin","42,00 - 82,00 m²",vsl. Ende 2019 / Anfang 2020,,309.000 - 534.000 €
"Lützowstraße 107, Tiergarten (Tiergarten), Berlin","36,38 - 141,11 m²",4. Quartal 2021,,255.000 - 1.147.500 €
"Niederschönhausen (Pankow), Berlin","42,00 - 142,00 m²",4. Quartal 2019,,180.000 - 899.000 €
"Lehrter Straße 23, Tiergarten (Tiergarten), Berlin","64,14 - 102,91 m²",ab Herbst 2019,,489.600 - 843.600 €
"Forckenbeckstraße 64 - 67, Schmargendorf (Wilmersdorf), Berlin","54,16 - 66,03 m²",ca. Ende 2019/Anfang 2020,,338.000 - 493.000 €
"Eichbuschallee 9D, Plänterwald (Treptow), Berlin","53,00 - 123,00 m²",vsl. Ende 2021,,269.000 - 990.000 €
"Konrad-Wolf-Straße 101, Alt-Hohenschönhausen (Hohenschönhausen), Berlin","42,00 - 133,00 m²",nach Vereinbarung,,279.000 - 899.000 €
"Voltairestraße 11, Mitte (Mitte), Berlin","67,03 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",569.500 €
"Talstr. 4, Pankow (Pankow), Berlin","70,19 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",459.500 €
"Voltairestraße 200, Mitte (Mitte), Berlin","93,11 m²",3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse', '+3']",699.500 €
"Nürnberger Straße 27y, Charlottenburg (Charlottenburg), Berlin",112 m²,3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse']",703.240 €
"Exerzierstraße 34, Wedding (Wedding), Berlin","94,12 m²",4 Zi.4,"['Provisionsfrei*', 'Balkon/Terrasse', '+4']",479.900 €
"Binzstraße 20, Pankow (Pankow), Berlin","67,17 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",278.400 €
"Thorwaldsenstr. 22a, Steglitz (Steglitz), Berlin","60,31 m²",3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",243.200 €
"Hasenheide 67, Neukölln (Neukölln), Berlin","67,5 m²",2 Zi.2,"['Provisionsfrei*', 'Keller']",281.600 €
"Grunewald (Wilmersdorf), Berlin",272 m²,"6,5 Zi.6,5","['Balkon/Terrasse', 'Aufzug']",3.980.000 €
