index,id,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,accommodates,bed_type,price,cleaning_fee,guests_included,extra_people,review_scores_rating,instant_bookable,cancellation_policy,moderate,strict,private,size,stairless,luggage_dropoff,balcony,elevator,distance,loc
134,189288,0,0,Prenzlauer Berg,Pankow,52.538140000000006,13.45553,4,1,100,0,2,15,95.0,0,strict,0,1,1,90,0,1,1,0,5.2473966561557965,Prenzlauer Berg (nh)
135,189596,0,0,Mitte,Mitte,52.53046,13.39889,2,0,80,0,2,100,97.0,0,moderate,1,0,1,45,0,0,0,0,3.098546444536273,Mitte (nh)
136,190448,0,0,Buckow,Neukölln,52.44149,13.461929999999999,3,1,52,15,2,10,96.0,1,strict,0,1,1,60,0,1,0,0,7.85827640669439,other
137,191023,0,0,Mitte,Mitte,52.51178,13.40751,2,1,55,10,1,25,95.0,0,moderate,1,0,0,49,0,0,0,1,1.025968482101681,Mitte (nh)
142,194465,1,1,Friedrichshain,Friedrichshain-Kreuzberg,52.52044,13.44498,2,1,75,35,1,10,98.0,1,strict,0,1,0,60,0,1,0,0,3.3887178670305946,Friedrichshain (nh)
144,194694,1,0,Lichtenberg,Lichtenberg,52.51245,13.49214,2,1,38,17,1,0,95.0,1,flexible,0,0,0,50,1,1,0,0,6.050086932762535,Lichtenberg
147,196285,1,1,Kreuzberg,Friedrichshain-Kreuzberg,52.4969,13.42348,2,1,50,25,1,10,95.0,0,moderate,1,0,1,38,0,0,0,0,1.4615270315642972,Kreuzberg (nh)
149,198239,1,0,Kreuzberg,Friedrichshain-Kreuzberg,52.50444,13.41559,2,1,89,30,1,15,91.0,0,strict,0,1,1,65,1,0,0,1,0.7947044945556095,Kreuzberg (nh)
150,198584,1,0,Wilmersdorf,Charlottenburg-Wilm.,52.49889,13.32386,1,1,38,30,1,25,93.0,0,flexible,0,0,0,25,0,1,0,0,5.453364484371464,Wilmersdorf (nh)
151,198896,0,0,Schöneberg,Tempelhof - Schöneberg,52.480880000000006,13.3545,2,1,25,0,1,10,83.0,0,flexible,0,0,0,20,0,0,0,0,4.151966625616819,Schöneberg (nh)
158,206454,1,1,Mitte,Mitte,52.532030000000006,13.400970000000001,2,1,70,30,1,15,99.0,0,moderate,1,0,1,60,0,0,1,1,3.2596556519965647,Mitte (nh)
162,209649,1,1,Charlottenburg,Charlottenburg-Wilm.,52.51079,13.30216,2,1,35,45,1,15,98.0,0,strict,0,1,0,30,1,1,0,0,6.961334915898174,Charlottenburg (nh)
163,210734,1,1,Moabit,Mitte,52.522980000000004,13.33416,5,1,145,40,4,10,95.0,1,strict,0,1,1,50,0,0,1,0,5.243160934596152,Moabit (nh)
172,221015,1,1,Wedding,Mitte,52.54063000000001,13.35147,4,1,75,30,2,10,96.0,1,flexible,0,0,1,55,0,0,1,0,5.516042026003274,Wedding (nh)
178,229075,1,1,Kreuzberg,Friedrichshain-Kreuzberg,52.49436,13.429129999999999,4,1,75,35,2,10,97.0,0,moderate,1,0,1,70,0,1,0,0,1.931692166576967,Kreuzberg (nh)
180,229348,0,0,Hansaviertel,Mitte,52.51991999999999,13.34149,2,1,79,29,2,12,91.0,0,strict,0,1,1,35,0,0,1,1,4.6502909711620095,Mitte
181,229363,0,0,Hansaviertel,Mitte,52.52206999999999,13.34353,2,1,79,29,2,12,92.0,0,strict,0,1,1,35,0,0,1,1,4.630407607418116,Mitte
182,229776,1,1,Mitte,Mitte,52.52834,13.40634,2,1,46,20,1,8,98.0,0,moderate,1,0,0,40,1,1,1,0,2.845936970071164,Mitte (nh)
184,230824,1,0,Friedrichshain,Friedrichshain-Kreuzberg,52.506840000000004,13.470120000000001,2,1,28,20,1,22,97.0,0,strict,0,1,0,25,0,0,0,0,4.486522449262296,Friedrichshain (nh)
186,231598,1,0,Schöneberg,Tempelhof - Schöneberg,52.49176,13.35144,2,1,49,70,2,5,93.0,1,strict,0,1,1,30,0,0,0,0,3.774049715973708,Schöneberg (nh)
187,233083,1,0,Charlottenburg,Charlottenburg-Wilm.,52.503969999999995,13.29597,2,1,98,75,2,20,99.0,0,strict,0,1,1,70,0,0,1,1,7.324828626163334,Charlottenburg (nh)
188,233453,0,0,Neukölln,Neukölln,52.48417,13.43728,2,1,32,20,1,13,99.0,0,moderate,1,0,0,40,0,0,0,0,3.050721106178474,Neukölln (nh)
194,238396,1,0,Prenzlauer Berg,Pankow,52.532140000000005,13.415189999999999,2,1,60,25,1,0,96.0,1,strict,0,1,1,32,0,0,0,0,3.34876046531933,Prenzlauer Berg (nh)
195,239139,1,0,Mitte,Mitte,52.53625,13.39795,2,1,55,65,2,20,96.0,0,strict,0,1,0,46,0,0,0,0,3.745419053988566,Mitte (nh)
196,239314,1,0,Friedrichshain,Friedrichshain-Kreuzberg,52.50583,13.470260000000001,2,1,30,20,1,20,97.0,0,strict,0,1,0,25,0,0,0,0,4.486116177372638,Friedrichshain (nh)
197,240169,1,1,Neukölln,Neukölln,52.479169999999996,13.437870000000002,2,1,31,25,1,12,92.0,1,strict,0,1,0,10,0,0,0,0,3.4782575031429253,Neukölln (nh)
